Data de envio,Data de resposta,Dias sem resposta,Nome do Órgão,Sigla do Órgão,Esfera,Meio de contato,Pedido,Status,Histórico,Texto,Resposta
2020-02-12,,600,Prefeitura Municipal de Feira de Santana,PMFS,MUNICIPAL,Formulário do portal da transparência,Acesso a pesquisa de restauração urbana,SEM RESPOSTA,"12/02/2020 Pedido feito no portal da transparência
05/03/2020 Novo contato por email, informando que o link para consulta do protocolo estava quebrado
06/03/2020 Cadastro feito no SEIFSA pela prefeitura com um CPF falso
16/03/2020 Denúncia ao Ministério Público de Feira de Santana
23/04/2020 10:19 Ligação telefônica ((75) 3602-8352) - 2x não atendida
23/04/2020 10:28 Ligação telefônica ((75) 3602 8400) - 2x não atendida
23/04/2020 10:37 Ligação telefônica ao Ministério Público (a servidora responsável pelo caso entrará em contato)
17/06/2020 Solicitação de esclarecimento pelo Ministério Público
24/06/2020 15:10 Resposta ao Ministério Público",,
2020-03-23,,560,Prefeitura Municipal de Feira de Santana,PMFS,MUNICIPAL,"ssaude@pmfs.ba.gov.br, gabp@pmfs.ba.gov.br,
transparencia@sefaz.feiradesantana.ba.gov.br",Dados COVID19 estruturados,SEM RESPOSTA,"23/03/2020 E-mail sugerindo a liberação dos dados de COVID-19 em formato aberto
24/03/2020 Mensagem encaminhada ao setor responsável
10/04/2020 Cobramos uma resposta
13/04/2020 Responderam que entrariam em contato com o setor responsável",,
2020-04-22,2020-05-06,530,Câmara Municipal de Feira de Santana,CMFS,MUNICIPAL,Formulário do portal da transparência,Projetos e votos dos vereadores,RESPONDIDO PARCIALMENTE,"23/03/2020 Tentativa de enviar o pedido pelo formulário porém este estava com erro; pedido enviado por email (diretoriacmfsa@gmail.com)
22/04/2020 Pedido reenviado devido a uma correção no portal da transparência
06/05/2020 Pedido respondido (sem os votos dos vereadores)",,https://drive.google.com/file/d/1RNVbMvZzFlx4meUZOMgejNQCMNXKBYfX/view?usp=sharing
2020-04-22,2020-05-11,0,Câmara Municipal de Feira de Santana,CMFS,MUNICIPAL,ouvidoria@feiradesantana.ba.leg.br,Auxílios recebidos por vereadores,RESPONDIDO,"23/03/2020 Tentativa de enviar o pedido pelo formulário porém este estava com erro; pedido enviado por email (diretoriacmfsa@gmail.com)
22/04/2020 Pedido reenviado devido a uma correção no portal da transparência",,
2020-04-25,,527,Polícia Militar da Bahia,PM-BA,ESTADUAL,http://www.tag.ouvidoriageral.ba.gov.br/tag/TagHub20190718.dll/EXEC,Dados de ocorrências em Feira de Santana em 2019,RESPONDIDO APÓS RECURSO,"25/04/2020 Pedido realizado no portal da transparência da Bahia - protocolo recebido por email
18/05/2020 Prazo extendido por 10 dias
22/05/2020 Resposta insatisfatória - recurso apresentado
03/06/2020 Respondido",,https://drive.google.com/file/d/1jyGJ_1Y-jhHYsJapz_v-NU06wa85-4IW/view?usp=sharing
2020-04-27,,525,Prefeitura Municipal de Feira de Santana,PMFS,MUNICIPAL,transparencia@sefaz.feiradesantana.ba.gov.br,Esclarecimento sobre as naturezas das despesas,SEM RESPOSTA,"27/04/2020 Pedido realizado por email
27/04/2020 Confirmação de recebimento do pedido (transparencia@sefaz.feiradesantana.ba.gov.br)",,
2020-04-27,2020-05-11,0,Câmara Municipal de Feira de Santana,CMFS,MUNICIPAL,ouvidoria@feiradesantana.ba.leg.br,Esclarecimento sobre as naturezas das despesas,RESPONDIDO,"27/04/2020 Pedido realizado por email para a ouvidoria e para Loraine, chefe de informática
11/05/2020 Pedido respondido por email",,
2020-04-27,2020-04-27,0,Prefeitura Municipal de Feira de Santana,PMFS,MUNICIPAL,transparencia@sefaz.feiradesantana.ba.gov.br,Sugestão de adoção do e-SIC,RESPONDIDO,"27/04/2020 Pedido realizado pelo formulário do portal da transparência
27/04/2020 Agradeceram a sugestão e não deram nenhuma justificativa (transparencia@sefaz.feiradesantana.ba.gov.br)",,
2020-05-16,2020-07-14,0,Tribunal de Contas dos Municípios da Bahia,TCM-BA,MUNICIPAL,https://www.tcm.ba.gov.br/situacao-da-manifestacao/?codManifestacao=2020051661188122855&id=45079,Abertura dos dados de educação e saúde,RESPONDIDO,"15/05/2020 Manifestação cadastrada 2020051661188122855
08/06/2020 Ouvidoria (2020060829029125537) - RESPONDIDO
11/06/2020 MANIFESTAÇÃO ENCAMINHADA À UNIDADE COMPETENTE (DTI - DIRETORIA DE TECNOLOGIA DA INFORMAÇÃO). ATRAVÉS DO PROCESSO Nº 08922e20, PARA CONHECIMENTO E MANIFESTAÇÃO.
24/06/2020 Em andamento https://www.tcm.ba.gov.br/consulta-processual/
14/07/2020 Glossário, opções de JSON e CSV adicionados a página de educação e saúde","Prezados,

Escrevi um pedido de informação/reclamação no site de vocês e até agora não obtive nenhuma resposta. O prazo já passou o estipulado pela Lei de Acesso à Informação (que não sofreu nenhuma alteração com a pandemia, conforme decisão do STF).
Gostaria de um posicionamento a respeito do meu pedido (https://www.tcm.ba.gov.br/situacao-da-manifestacao/?codManifestacao=2020051661188122855&id=45079) e também entender melhor como a sociedade civil organizada pode colaborar com o TCM. Confesso que achei que o órgão teria um tempo de resposta melhor do que os encontrados nas cidades do interior do estado. Espero que tenha sido apenas a minha experiência que foi ruim.

No aguardo do contato de vocês.
Grata.",
2020-05-21,,0,Câmara Municipal de Feira de Santana,CMFS,MUNICIPAL,Formulário do portal da transparência,Acesso ao Projeto de Lei nº 004/2020 / Sugestão para disponibilizar todos os projetos e pareceres,RESPONDIDO,,"Bom dia!

Gostaria de solicitar acesso ao Projeto de Lei nº 004/2020, de autoria do vereador Roberto Luís da Silva Tourinho, bem como os pareces da CCJR e documentos relacionados.

Aproveito para sugerir também que todos os projetos de leis e pareceres sejam divulgados pela casa. Dessa forma, o cidadão pode entender melhor sobre os projetos e sobre o que tem feito os seus autores, além de avaliar a qualidade do texto e demais implicações. Seria mais uma excelente iniciativa de transparência ativa por parte da Câmara, que reconheço ter feito importantes avanços nessa área.

Muito obrigada.",https://drive.google.com/file/d/1Oh_SqboY2yIWks1LH_nOCPpUtK_8xyNJ/view?usp=sharing
2020-05-28,,494,Câmara Municipal de Feira de Santana,CMFS,MUNICIPAL,Formulário do portal da transparência,Abertura dos dados do painel eletrônico para acesso a presença e votos nos projetos,SEM RESPOSTA,24/06/2020 Envio de email cobrando uma resposta,,
2020-06-03,,488,Prefeitura Municipal de Feira de Santana,PMFS,MUNICIPAL,Formulário do portal da transparência,Informações sobre o Hospital de Campanha,SEM RESPOSTA,"03/06/2020 Abertura - nº do protocolo: 31176/20
10/06/2020 Resposta por email sem nenhuma das perguntas respondidas
12/06/2020 Recurso
24/06/2020 Contato com TCM-BA para orientação sobre denúncia
26/06/2020 Confirmação da denúncia - Protocolo: 09639e20","Requisitamos acesso às informações listadas abaixo, referentes ao Hospital de Campanha de Feira de Santana.
Para facilitar a compreensão das informações fornecidas, solicitamos que cada item seja respondido separadamente, indicando o número a que se refere.
1. Porque não usar o estádio Jóia da Princesa ou qualquer outro espaço para montagem? Quais outras opções foram consideradas?
2. Porque o edital foi impugnado?
3. Onde podemos acessar o parecer nº 582/PGM/2020?
4. Quais empresas submeteram propostas?
5. Quais foram os custos submetidos por elas (planilha de custos - Anexo F)?
6. Onde está a minuta de contrato e o contrato celebrado entre o ente público e a empresa? Onde podemos acessar a ata do processo de escolha?
7. Uma das responsabilidades do poder público é a Manutenção predial e das estruturas físicas dos equipamentos. O que exatamente foi definido e está sendo feito na área externa e interna do prédio? Considerando o poder público e empresa contratada, quem está responsável por cada um dos itens?
8. Quais os custos da gestão do Hospital de Campanha? Em que são gastos os 8 milhões de reais?
9. Porque o hospital de campanha não tem uma placa com informações de o valor do contrato, nome da empresa construtora, origem dos recursos, datas do início e término das obras, com previsto pela lei municipal nº 1172, de 10 de abril de 1989 (https://leismunicipais.com.br/a/ba/f/feira-de-santana/lei-ordinaria/1989/118/1172/lei-ordinaria-n-1172-1989-autoriza-o-chefe-do-poder-executivo-a-colocar-nas-placas-alusivas-as-obras-o-valor-do-contrato-nome-da-empresa-construtora-e-a-origem-dos-recursos?q=obras)",
2020-06-04,,487,Comando do Exército,CEX,FEDERAL,https://esic.cgu.gov.br,Informações sobre o Hospital de Campanha,RESPONDIDO APÓS RECURSO,"04/06/2020 Abertura - 60502.001699/2020-58
10/06/2020 Resposta justificando que o hospital de campanha não poderia ser implantado pelo exército
16/06/2020 Recurso solicitando as comunicações
22/06/2020 Solicitaram que aguardemos até o dia 3 de Julho para resposta","Olá.

Gostaria de solicitar acesso à comunicações referentes a instalação de um hospital de campanha na município de Feira de Santana, BA. Essas comunicações incluiriam ofícios, e-mails e qualquer documento que envolva o tema ""hospital de campanha"" na cidade e o 35º Batalhão de Infantaria de Feira de Santana.",
2020-06-14,2020-06-29,0,Ministério Público da Bahia,MP-BA,ESTADUAL,https://www.mpba.mp.br/formulario/673,Processos sobre a LAI no MP em Feira,RESPONDIDO,"14/06/2020 Abertura - Protocolo n.202006146730002
29/06/2020 Respondido","Gostaria de solicitar acesso aos processos/inquéritos/denúncias no Ministério Público da Bahia e de Feira de Santana relacionados a Lei de Acesso à Informação no município de Feira de Santana. Caso não seja possível ter acesso a todos (desde a criação da lei até hoje), solicito que seja entre 2015 e 2020 (até a presente data). Conforme previsto na Lei de Acesso à Informação, peço que disponibilizem esses dados em formato aberto (.csv) ou de fácil acesso.",
